Season,School,Conference,G,BA,OBPct,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OppDP,CS,Picked,SB,IBB,
2020,Abilene Christian,Southland,15,0.222,0.331,57,482,107,22,3,150,5,52,63,17,3,4,136,13,3,,15,1,
2020,Air Force,Mountain West,19,0.257,0.358,90,634,163,42,6,232,5,74,80,23,7,9,162,7,12,,46,,
2020,Akron,MAC,13,0.145,0.229,24,400,58,7,1,73,2,22,39,5,2,5,125,6,6,,6,1,
2020,Alabama,SEC,17,0.308,0.432,148,590,182,39,4,295,22,129,104,33,11,5,121,14,7,,29,7,
2020,Alabama A&M,SWAC,17,0.217,0.294,66,552,120,26,3,164,4,56,57,6,8,4,150,6,15,,30,,
2020,Alabama St.,SWAC,18,0.254,0.38,108,606,154,21,9,238,15,94,105,19,1,3,174,10,7,,23,1,
2020,Albany (NY),America East,12,0.226,0.331,67,389,88,14,2,109,1,48,53,12,8,7,109,9,8,,20,1,
2020,Alcorn,SWAC,12,0.246,0.348,68,414,102,9,,132,7,63,55,12,5,5,118,6,3,,2,1,
2020,Appalachian St.,Sun Belt,17,0.237,0.341,103,612,145,34,3,212,9,94,77,24,9,10,162,9,4,,19,2,
2020,Arizona,Pac-12,15,0.288,0.417,113,497,143,30,4,217,12,106,97,23,13,6,116,9,6,,20,3,
2020,Arizona St.,Pac-12,17,0.276,0.395,123,557,154,30,2,248,20,108,97,21,13,9,128,9,6,,10,15,
2020,Ark.-Pine Bluff,SWAC,18,0.256,0.355,97,602,154,34,7,226,8,84,69,25,3,6,170,8,7,,27,,
2020,Arkansas,SEC,16,0.31,0.403,118,565,175,33,2,275,21,111,78,15,7,4,146,7,3,,17,5,
2020,Arkansas St.,Sun Belt,16,0.254,0.358,92,543,138,21,6,213,14,85,63,28,5,9,133,7,3,,15,3,
2020,Army West Point,Patriot,15,0.268,0.35,71,518,139,24,2,182,5,59,50,17,4,17,120,6,5,,14,1,
2020,Auburn,SEC,18,0.33,0.421,158,636,210,51,5,313,14,148,95,16,16,5,112,8,4,,14,2,
2020,Austin Peay,OVC,17,0.275,0.373,105,579,159,38,3,242,13,91,77,19,8,7,161,10,4,,15,2,
2020,Ball St.,MAC,16,0.249,0.336,74,551,137,28,8,199,6,71,63,15,10,10,148,8,5,,23,3,
2020,Baylor,Big 12,16,0.278,0.354,82,543,151,28,5,234,15,75,51,16,6,6,101,14,4,,9,3,
2020,Belmont,OVC,17,0.27,0.379,119,574,155,34,,249,20,103,87,19,8,11,129,15,6,,23,3,
2020,Bethune-Cookman,MEAC,18,0.206,0.294,66,579,119,32,4,162,1,58,58,17,5,11,176,11,8,,4,1,
2020,Binghamton,America East,12,0.295,0.37,76,448,132,25,2,176,5,61,46,10,4,9,95,6,1,,8,,
2020,Boise St.,Mountain West,14,0.296,0.397,101,487,144,28,2,212,12,85,67,19,6,1,94,4,7,,11,2,
2020,Boston College,ACC,15,0.316,0.393,110,529,167,35,6,250,12,101,67,8,11,7,126,9,8,,26,,
2020,Bowling Green,MAC,13,0.191,0.316,46,413,79,12,3,106,3,44,65,11,1,8,102,9,1,,10,,
2020,Bradley,MVC,10,0.267,0.392,71,345,92,20,,169,19,67,52,19,,7,96,10,2,,10,1,
2020,Brown,Ivy League,12,0.226,0.323,47,393,89,24,4,133,4,40,47,9,,7,105,6,2,,9,1,
2020,Bryant,NEC,15,0.209,0.312,57,489,102,19,6,163,10,50,58,16,2,2,188,12,10,,39,,
2020,Bucknell,Patriot,16,0.243,0.343,83,539,131,25,3,177,5,75,70,17,9,4,118,9,2,,17,1,
2020,Butler,Big East,15,0.219,0.356,87,479,105,15,1,134,4,71,84,20,4,8,139,5,9,,9,1,
2020,BYU,WCC,16,0.204,0.312,65,519,106,17,4,146,5,62,66,20,11,10,191,8,10,,4,1,
2020,Cal Poly,Big West,16,0.231,0.327,67,563,130,15,3,163,4,56,66,17,6,7,129,15,5,,9,4,
2020,Cal St. Fullerton,Big West,16,0.214,0.306,55,533,114,16,3,142,2,46,58,16,8,10,146,11,3,,13,,
2020,California,Pac-12,16,0.226,0.32,66,535,121,15,2,164,8,62,66,10,5,7,150,17,4,,11,1,
2020,California Baptist,WAC,15,0.291,0.391,96,509,148,30,4,216,10,91,75,14,8,8,134,12,8,,18,1,
2020,Campbell,Big South,16,0.226,0.378,85,517,117,22,3,175,10,74,77,50,1,9,129,8,10,,28,2,
2020,Canisius,MAAC,15,0.243,0.346,79,511,124,21,6,175,6,65,71,12,4,7,140,12,7,,21,1,
2020,Central Ark.,Southland,16,0.252,0.345,62,524,132,23,1,175,6,59,56,21,4,10,149,11,2,,12,,
2020,Central Conn. St.,NEC,12,0.216,0.3,47,384,83,16,4,131,8,40,39,8,2,8,118,8,4,,7,,
2020,Central Mich.,MAC,17,0.277,0.402,115,582,161,16,3,201,6,104,98,26,3,11,122,19,2,3,13,1,
2020,Charleston So.,Big South,19,0.224,0.338,84,606,136,29,4,197,8,70,85,20,3,4,158,14,2,,40,6,
2020,Charlotte,C-USA,17,0.259,0.374,91,575,149,20,1,195,8,81,94,14,5,3,130,8,8,,15,3,
2020,Chicago St.,WAC,18,0.212,0.299,43,576,122,23,1,156,3,40,57,17,6,4,162,21,5,,5,,
2020,Cincinnati,AAC,15,0.288,0.407,113,497,143,35,8,230,12,105,83,20,4,1,118,14,10,,23,1,
2020,Clemson,ACC,17,0.264,0.363,81,546,144,28,2,206,10,72,72,18,8,5,115,19,5,,26,1,
2020,Coastal Carolina,Sun Belt,16,0.287,0.4,135,529,152,24,2,240,20,116,83,24,11,8,139,7,4,,28,3,
2020,Col. of Charleston,CAA,14,0.291,0.38,90,460,134,28,6,198,8,84,49,20,5,5,79,7,10,,16,1,
2020,Columbia,Ivy League,8,0.237,0.292,24,270,64,4,1,91,7,21,18,4,3,3,80,5,4,,8,,
2020,Coppin St.,MEAC,13,0.204,0.304,46,426,87,20,2,132,7,45,47,15,2,3,148,8,7,,12,2,
2020,Cornell,Ivy League,9,0.184,0.26,23,288,53,6,,68,3,22,28,3,4,1,111,5,2,,2,,
2020,Creighton,Big East,15,0.239,0.354,63,489,117,18,4,176,11,59,70,20,5,14,136,6,8,,7,1,
2020,CSU Bakersfield,WAC,14,0.239,0.348,54,456,109,11,4,134,2,49,64,14,3,3,133,9,6,,16,2,
2020,CSUN,Big West,15,0.25,0.355,77,505,126,22,5,194,12,65,59,25,3,5,114,14,8,,15,2,
2020,Dartmouth,Ivy League,7,0.229,0.328,22,218,50,13,3,75,2,20,27,6,2,4,64,7,1,,5,1,
2020,Davidson,Atlantic 10,16,0.257,0.375,108,502,129,25,6,208,14,97,72,29,11,11,153,8,2,,21,1,
2020,Dayton,Atlantic 10,14,0.272,0.355,87,492,134,21,2,192,11,83,48,18,6,3,107,8,6,,14,2,
2020,DBU,MVC,16,0.257,0.348,92,538,138,22,2,224,20,86,70,9,7,2,137,8,3,,13,,
2020,Delaware,CAA,15,0.29,0.37,85,472,137,24,3,197,10,79,54,10,7,5,87,13,5,,20,1,
2020,Delaware St.,MEAC,15,0.22,0.348,58,449,99,19,1,135,5,52,67,23,4,5,126,9,2,,11,,
2020,Duke,ACC,16,0.244,0.374,87,504,123,25,8,191,9,75,81,28,7,8,141,6,6,,14,,
2020,East Carolina,AAC,17,0.317,0.397,117,578,183,27,3,255,13,102,63,19,7,23,120,14,10,,26,3,
2020,Eastern Ill.,OVC,14,0.235,0.34,61,481,113,18,,140,3,52,58,21,4,7,119,9,4,,14,4,
